11/11/2016 3:47:57 PM -- The CF0032.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0033.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0034.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0035.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0036.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0037.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0038.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0039.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0040.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0042.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0043.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0045.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0046.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0048.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0050.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0053.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0054.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0056.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0060.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0070.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0080.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0080_BK.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0081.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0082.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0083.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0084.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0085.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0086.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0087.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0088.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0089.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0090.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0091.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0092.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0095.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0096.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0097.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0098.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF0099.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF00999.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1000.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1001.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1002.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1003.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1004.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1005.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1006.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1006_bck.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1007.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1008.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1009.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1010.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1012.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1013.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1014.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1015.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1016.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1017.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1018.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1019.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1020.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1022.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1022_2.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1025.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1026.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF10261.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1028.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1029.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1030.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1038.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1040.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1045.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1046.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CF1047.rpt is no longer ReadOnly.
